idx,angdist_arcsec,qso_name,qso_type,qso_ra,qso_dec,qso_z
11687,113.341943,J152235.05+165907.0,R,230.6460773,16.9852981,0.5
51742,126.536016,WISEA J023748.22-141949.0,qR,39.4509581,-14.3302897,0.20000000298023224
41738,84.038879,SDSS J080330.35+522103.7,Q,120.876478,52.3510399,1.312999963760376
81721,124.836164,SDSS J151146.85+444846.9,Q,227.945234,44.8130475,2.0220000743865967
31750,68.652327,SDSS J151033.52+130723.9,Q,227.6396868,13.1233242,0.7080000042915344
91700,151.203905,FBQS J17204+3955,AR,260.1239167,39.9323334,0.1899999976158142
11688,80.236806,WISEA J231817.91+234950.1,q,349.574687,23.8305835,0.699999988079071
11688,103.485592,SDSS J231807.23+234912.7,Q,349.5301219,23.820204,1.0299999713897705
11688,147.840675,SDSS J231813.36+234618.0,Q,349.5556926,23.771688,2.5429999828338623
41739,88.349964,SDSS J081159.09+505942.2,QR,122.9962951,50.9950692,1.5989999771118164
41739,127.725497,SDSS J081151.43+505634.7,Q,122.9643232,50.9429754,2.2880001068115234
91701,140.216192,SDSS J170533.08+400418.3,Q,256.3878668,40.0717691,0.9070000052452087
61738,172.530073,SDSS J124809.69+421921.1,Q,192.0403985,42.3225395,1.0460000038146973
31752,122.481836,SDSS J170614.17+443600.6,QX,256.5590573,44.6001844,1.3459999561309814
31752,149.796986,SDSS J170603.31+443423.5,Q,256.513792,44.5732153,1.531000018119812
31752,178.862739,SDSS J170559.11+443401.5,Q,256.4963223,44.5671109,0.8560000061988831
81722,49.079987,SDSS J151125.35+442011.7,QR,227.8556359,44.3365746,2.390000104904175
41740,62.901929,WISEA J102926.35-271437.4,q,157.3598318,-27.2436948,1.2999999523162842
21801,108.878718,WEE 125,Q,198.0642376,28.3632246,1.600000023841858
21801,151.041047,WISEA J131209.08+281814.1,q,198.0378876,28.3038635,0.20000000298023224
31753,171.965324,SDSS J170840.79+443212.2,Q,257.1699836,44.5367271,1.5870000123977661
11689,176.840369,SDSS J231405.59+232707.7,Q,348.5233056,23.4521401,1.9910000562667847
81723,53.750606,SDSS J151122.63+440653.4,Q,227.8442998,44.1148222,2.509000062942505
21802,162.461346,SDSS J130008.30+294554.4,Q,195.0345932,29.7651165,2.677000045776367
71742,115.141928,2QZ J230004.7-314734,Q,345.0199036,-31.7928416,1.2289999723434448
81724,110.496267,WISEA J170718.23+141859.0,q,256.8260175,14.3165327,2.5999999046325684
21803,12.761179,SDSS J130600.12+303350.9,Q,196.5005129,30.5641759,2.2179999351501465
21803,94.470185,CSO 814,Q,196.4780236,30.5478699,1.7589999437332153
11690,99.671789,SDSS J231113.67+261817.7,Q,347.8069707,26.3049294,0.953000009059906
11690,159.68162,SDSS J231119.24+262055.5,Q,347.8301729,26.3487566,2.046999931335449
41744,169.964457,SDSS J103550.00+235058.5,Q,158.9583552,23.8495824,1.8559999465942383
1786,147.297041,WISEA J220221.55-332113.0,q,330.5897818,-33.3536391,1.2000000476837158
61743,154.580078,SDSS J131046.00+572201.1,QR,197.6917063,57.3669964,0.7820000052452087
81727,69.756516,SDSS J171018.37+121130.4,qR,257.576566,12.1917974,2.299999952316284
11691,134.03454,SDSS J231350.23+262208.4,Q,348.4593161,26.3690227,1.6690000295639038
41745,84.21531,SDSS J104839.02+234458.8,QX,162.1625833,23.7496924,1.0069999694824219
41745,145.222638,SDSS J104854.63+234343.4,qX,162.2276459,23.7287273,0.30000001192092896
41745,149.760227,SDSS J104851.89+234605.2,QX,162.2162442,23.7681394,0.6570000052452087
1787,92.57818,J220911.52-315018.1,X,332.298,-31.8383612,
1787,95.251365,J220912.09-315011.6,R,332.3003889,-31.8365556,
1787,98.504266,2QZ J220901.3-315047,QX,332.2554945,-31.8462626,0.9039999842643738
1787,160.842003,J220914.85-314735.2,X,332.3118889,-31.7931112,
31759,106.306112,WISEA J230240.28-805913.3,q,345.6680043,-80.9870358,0.800000011920929
41746,62.843567,SDSS J104620.91+245540.2,Q,161.5871157,24.9278241,0.878000020980835
81729,63.254684,WISEA J174047.92+123215.6,qRX,265.1997207,12.5377353,1.2999999523162842
31760,151.956406,SDSS J231124.77+303633.1,Q,347.8532388,30.6092038,2.492000102996826
31760,168.95018,SDSS J231124.18+303650.2,QR,347.8507739,30.6139763,1.5839999914169312
