idx,angdist_arcsec,qso_name,qso_type,qso_ra,qso_dec,qso_z
7618,130.749118,SDSS J075943.36+331723.6,Q,119.9307274,33.289899,0.9340000152587891
7619,70.50129,SDSS J102057.26+253217.8,qX,155.2386063,25.5382935,1.399999976158142
7619,111.655778,J102101.63+252925.8,X,155.2567969,25.4905256,
7619,160.505704,SDSS J102054.16+252840.6,QX,155.2257219,25.4779694,2.2730000019073486
7620,0.347323,UGC 5713,AR,157.9120556,25.9839218,0.020999999716877937
7620,143.229314,SDSS J103149.45+255850.1,qR,157.9560662,25.9805684,2.0999999046325684
7621,176.200096,WISEA J114940.05+742043.9,q,177.4168286,74.3455356,1.899999976158142
18254,160.914469,WISEA J225807.32-401637.4,qX,344.5305396,-40.2770739,0.4000000059604645
7622,167.501753,WISEA J133055.00+111406.9,qX,202.7291579,11.2352382,0.5
7623,2.17409,NGC 6073,A,242.5445278,16.6994723,0.014999999664723873
7623,175.882688,J160959.00+164113.2,R,242.4958612,16.687,
7625,87.292971,SDSS J230730.34+230113.8,Q,346.8764292,23.0204853,0.6150000095367432
7625,128.984303,SDSS J230741.89+230016.0,Q,346.9245739,23.0044687,1.0260000228881836
18259,152.068797,WISEA J054508.21+624555.8,q,86.2843309,62.7656403,0.20000000298023224
18260,148.972825,SDSS J080631.88+265128.9,Q,121.6328686,26.8580287,2.996000051498413
7626,108.181951,SDSS J010412.05-010308.1,N,16.0502027,-1.0522545,0.24699999392032623
7626,134.181537,SDSS J010419.90-010635.4,Q,16.0829222,-1.109847,1.5839999914169312
7626,147.564731,SDSS J010407.68-010525.6,Q,16.0320287,-1.090454,2.177000045776367
18261,12.025365,SDSS J083423.61+322617.1,QR,128.5983821,32.4381423,1.9049999713897705
18262,70.575505,J100027.58+042358.5,X,150.1149445,4.3995834,
18263,108.97884,2QZ J112237.9-004923,Q,170.6580972,-0.8230436,0.6729999780654907
18265,32.061395,SDSS J162534.87+355839.6,A,246.395325,35.9776779,0.49799999594688416
18265,107.111423,SDSS J162545.46+355752.8,Q,246.4394266,35.9646667,1.187999963760376
7630,0.294136,NGC 4074,ARX,181.1236151,20.3162843,0.023000000044703484
7630,106.433694,SDSS J120434.27+201734.1,AX,181.1428081,20.2928234,0.2160000056028366
18268,110.844352,WISEA J224149.52-324452.4,q,340.4563763,-32.7479025,0.8999999761581421
18270,60.426157,SDSS J000825.93+101310.6,Q,2.108079,10.219634,0.9129999876022339
18270,85.230222,WISEA J000831.07+101333.3,q,2.1294736,10.2259457,1.0
18270,142.151502,SDSS J000819.73+101328.8,Q,2.0822306,10.2246857,1.4670000076293945
7634,119.458873,SDSS J223554.05+202115.1,Q,338.9752157,20.3542187,1.5130000114440918
7634,160.090784,SDSS J223605.98+201755.3,Q,339.0249525,20.2986945,1.5720000267028809
18271,139.723235,2QZ J011153.1-300143,Q,17.9715683,-30.0284877,1.2890000343322754
18271,141.738888,2QZ J011135.0-300327,Q,17.8961261,-30.0573778,1.555999994277954
18274,140.388429,SDSS J031022.23+041618.7,qR,47.5926951,4.2719221,1.7000000476837158
7637,67.360137,WISEA J055757.57-455122.0,q,89.4898339,-45.8561052,1.2000000476837158
18279,155.601097,SDSS J073829.18+373551.4,Q,114.6216051,37.5976142,2.565999984741211
18279,170.038228,SDSS J073824.16+373634.4,Q,114.6006906,37.6095627,2.571000099182129
18280,0.393308,MCG 4-27-034,N,171.3890596,22.8190216,0.02199999988079071
18280,172.698076,SDSS J112537.67+225150.3,Q,171.4069817,22.8639815,2.3239998817443848
18282,172.276276,J120759.30+693326.8,X,181.9971112,69.5574445,
18283,51.835899,SDSS J130238.73+282132.5,Q,195.6613837,28.3590544,3.0999999046325684
18283,128.583636,LAMOSTJ130231.42+282142.0,Q,195.6309165,28.3616758,1.75600004196167
18285,130.901334,SDSS J141506.63+154243.5,Q,213.7776555,15.7121036,2.365999937057495
18287,44.683369,SDSS J155603.36+212344.5,Q,239.014022,21.3956961,2.0899999141693115
