idx,angdist_arcsec,qso_name,qso_type,qso_z,qso_xname,qso_rname
60961,146.216308,J121006.36+284639.2,R,0.20000000298023224,,FIRST J121006.4+284639
80957,156.978258,WISEA J063804.67+445520.6,q,2.200000047683716,,
60962,139.031299,SDSS J120919.87+290631.8,Q,2.7990000247955322,,
90949,103.951596,SDSS J091345.78+260311.7,Q,1.3240000009536743,,
90949,123.775948,SDSS J091332.71+260220.4,Q,1.3209999799728394,,
90949,168.749954,SDSS J091351.46+260002.8,Q,1.3279999494552612,,
31012,93.898325,J020608.41-071802.8,X,,4XMM J020608.4-071802,
31012,131.457768,J020609.24-071629.5,X,2.4000000953674316,4XMM J020609.2-071629,
1004,53.271945,SDSS J121720.05+420635.8,Q,0.6940000057220459,,
60964,44.723684,J122304.57+261613.4,X,1.7000000476837158,2RXP J122305.0+261557,
60964,58.864461,SDSS J122303.67+261621.3,A,0.31200000643730164,,
60964,169.416926,WISEA J122254.75+261459.4,q,1.7999999523162842,,
90950,156.932712,SDSS J091840.51+250304.6,Q,1.9980000257492065,,
70983,103.296305,WISEA J175811.10+585708.2,q,0.699999988079071,,
50986,123.348864,SDSS J232822.38+352732.2,A,0.5009999871253967,,
21031,65.564972,SDSS J122018.04+650155.6,Q,2.296999931335449,,
21031,149.653027,SDSS J122013.88+650011.7,N,0.20800000429153442,,
60965,156.482694,LAMOSTJ122413.75+255127.9,Q,0.7269999980926514,,
31015,127.185539,WISEA J020723.75-072849.1,q,0.5,,
1007,89.426009,SDSS J120124.45+422829.8,Q,0.8320000171661377,,
1007,115.909945,SDSS J120123.86+422856.1,N,0.3319999873638153,,
40980,67.489991,SDSS J100359.03+590032.7,Q,2.7079999446868896,,
40980,126.108284,SDSS J100406.27+590051.2,Q,1.4620000123977661,,
60967,79.803663,SDSS J121647.44+263944.7,qX,1.100000023841858,2RXP J121647.3+263944,
60967,100.46407,WISEA J121648.54+263925.9,q,0.5,,
60967,149.0593,SDSS J121652.27+263919.6,QR,1.159999966621399,,FIRST J121652.3+263920
80964,160.992473,SDSS J111914.83+341603.3,Q,2.578000068664551,,
31016,67.734683,WISEA J024848.41+391859.6,q,0.30000001192092896,,
31016,104.034939,WISEA J024843.78+391807.3,q,0.800000011920929,,
90954,78.764314,WISEA J103742.62-232626.8,q,0.4000000059604645,,
10995,103.550032,WISEA J233239.27-062805.8,q,0.4000000059604645,,
50989,95.974229,SDSS J235846.14+103542.3,A,0.32899999618530273,,
40981,105.259533,SDSS J101733.23+572528.6,Q,1.0980000495910645,,
40981,158.194548,SDSS J101805.78+572544.1,Q,0.777999997138977,,
1009,129.108416,WISEA J133149.64-181643.0,q,2.200000047683716,,
80965,144.48711,SDSS J110850.28+354246.0,Q,1.9270000457763672,,
50990,131.227221,SDSS J235029.76+100159.9,A,0.4659999907016754,,
31017,159.391688,WISEA J024940.53+391412.4,q,2.0,,
40983,173.488149,SDSS J102415.65+575121.3,Q,1.2300000190734863,,
50991,37.515103,SDSS J235912.48+114936.3,Q,2.203000068664551,,
80967,68.078925,LAMOSTJ110929.81+361100.2,Q,1.8240000009536743,,
80967,170.205955,SDSS J110947.89+361220.7,Q,2.2820000648498535,,
90957,77.115393,SDSS J104420.40+170843.6,QR,1.4299999475479126,,VL0J104420.40+170843.7
70989,136.108085,SDSS J002831.38+223753.7,Q,1.437999963760376,,
60971,88.546726,2SLAQ J133919.33-005713.0,N,0.05000000074505806,,
60971,140.884333,2SLAQ J133933.50-005547.1,Q,1.3250000476837158,,
80968,43.961036,SDSS J115001.94+552306.8,Q,1.5859999656677246,,
21040,178.809122,WISEA J024245.38-380020.4,q,0.8999999761581421,,
70990,108.045975,SDSS J002122.88+235624.6,Q,2.4739999771118164,,
70990,119.684785,SDSS J002127.11+235629.7,Q,3.305999994277954,,
50993,154.886835,SDSS J004036.56+230740.4,Q,2.502000093460083,,
80969,91.469981,SDSS J114759.43+550452.5,Q,2.0880000591278076,,
