idx,angdist_arcsec,qso_name,qso_type,qso_z,qso_xname,qso_rname
9106,105.712996,SDSS J081435.39+550654.1,QR,0.8270000219345093,,VL0J081435.34+550654.0
9107,117.35704,SDSS J115143.00+273736.2,QR,1.097000002861023,,VL0J115143.00+273736.3
9112,66.538936,SDSS J012546.19+181131.5,Q,3.7200000286102295,,
9112,164.833623,WISEA J012601.57+181148.3,q,0.4000000059604645,,
9115,174.529562,WISEA J064921.82+840228.0,q,1.2000000476837158,,
9117,145.250999,2QZ J120436.6+015025,QX,1.934999942779541,CXOG J120436.6+015025,
9122,129.684294,J075207.58+273111.9,X,,CXOG J075207.6+273113,
9123,0.706222,UGC 5856,ARX,0.026000000536441803,2SXPS J104448.9+381053,VL0J104448.99+381052.3
9123,148.624577,SDSS J104442.15+381257.2,QX,2.072999954223633,2SXPS J104442.0+381255,
9123,165.915686,SDSS J104439.25+380852.4,Q,2.9700000286102295,,
9123,169.731193,SDSS J104502.09+381202.5,Q,2.069000005722046,,
9125,121.284176,WISEA J131822.84+061824.0,q,0.10000000149011612,,
9127,44.32619,SDSS J164659.60+340946.3,N,0.0989999994635582,,
9129,68.745517,WISEA J222950.40+361526.6,q,1.600000023841858,,
9133,120.217568,WISEA J045205.97-325726.0,q,1.2999999523162842,,
9138,125.110326,UM 606,Q,0.6000000238418579,,
9138,158.556083,2QZ J134218.5+015355,Q,0.6710000038146973,,
9140,133.81677,SDSS J154439.33+410655.1,Q,2.3289999961853027,,
9140,177.856335,SDSS J154440.39+410858.2,Q,1.2200000286102295,,
9142,0.092787,UGC 11871,ARX,0.02800000086426735,2SXPS J220041.3+103307,VL0J220041.34+103307.9
9142,23.434825,SDSS J220041.41+103244.6,qX,1.7000000476837158,XMMSL J220041.7+103252,
9142,113.273228,SDSS J220045.61+103442.3,qX,1.399999976158142,2SXPS J220045.6+103441,
9145,80.327547,SDSS J120715.16+165943.7,QR,1.4950000047683716,,FIRST J120715.1+165943
9145,103.789252,MCG 3-31-042,NR,0.07199999690055847,,NVSS J120712.1+165808
9149,0.080273,3C 353.0,NR2X,0.029999999329447746,CXOG J172028.1-005846,VL0J172028.17-005846.4
9149,20.41914,J172026.99-005836.0,X,0.5,CXOG J172026.9-005836,
9149,53.264584,J172029.44-005936.5,X,,CXOG J172029.4-005936,
9149,57.422872,J172024.34-005841.3,2,0.10000000149011612,,
9149,108.533834,J172035.31-005902.1,2,0.10000000149011612,,
9149,112.510451,SDSS J172028.96-005655.1,qX,1.2000000476837158,CXOG J172028.9-005655,
9152,131.700104,2QZ J014557.6-290424,Q,0.8920000195503235,,
9152,143.441241,2QZ J014559.8-290011,N,0.07699999958276749,,
9154,147.228572,LAMOSTJ022936.45+201333.1,Q,0.9100000262260437,,
9156,167.065199,WISEA J090703.24+373142.1,q,0.800000011920929,,
9157,128.496238,SDSS J105435.12+463454.1,Q,1.4129999876022339,,
