pair_id,field_kind,field_index,is_catalogued_companion,name,type,z,offset_arcmin
NGC3067-3C232,control,4,False,SDSS J100355.23+312822.6,Q,1.3600000143051147,1.3628793099970744
NGC3067-3C232,control,4,False,SDSS J100357.10+312609.1,Q,1.5889999866485596,1.0851824832232486
NGC3067-3C232,control,4,False,SDSS J100358.98+313009.0,Q,2.13100004196167,2.9534456322469813
NGC3067-3C232,control,4,False,SDSS J100411.71+312358.5,Q,1.6349999904632568,4.288536946117914
NGC3067-3C232,control,5,False,SDSS J095124.30+315746.4,Q,1.718999981880188,5.407017602934558
NGC3067-3C232,control,5,False,SDSS J095130.24+314813.0,A,0.5559999942779541,5.19076028834888
NGC3067-3C232,control,5,False,SDSS J095131.70+315827.8,Q,1.3869999647140503,5.446998397493165
NGC3067-3C232,control,5,False,SDSS J095137.43+314846.9,Q,2.128000020980835,4.382706537937605
NGC3067-3C232,control,6,False,SDSS J095234.43+332257.1,Q,0.8730000257492065,5.926370513945901
NGC3067-3C232,control,6,False,SDSS J095240.89+332118.3,Q,2.7750000953674316,4.549036510069857
NGC3067-3C232,control,6,False,SDSS J095243.01+331931.9,Q,2.0969998836517334,4.737098218590778
NGC3067-3C232,control,6,False,SDSS J095302.07+331637.3,Q,1.3519999980926514,5.355468891016651
NGC3067-3C232,control,6,False,SDSS J095320.66+331918.7,Q,1.621000051498413,4.646364650756775
NGC3067-3C232,control,7,False,SDSS J095120.86+320314.6,Q,2.450000047683716,1.8970847483793398
NGC3067-3C232,control,7,False,SDSS J095139.41+320426.8,Q,1.281000018119812,3.6226866932089705
NGC3067-3C232,control,7,False,SDSS J095149.16+320537.0,Q,1.1299999952316284,5.650313804954912
NGC3067-3C232,control,8,False,SDSS J100339.93+331556.0,Q,1.968000054359436,4.303904072491132
NGC3067-3C232,control,8,False,SDSS J100341.32+331336.4,Q,1.3860000371932983,5.025424007000485
NGC3067-3C232,control,8,False,SDSS J100355.83+331918.4,Q,1.7979999780654907,2.732799067720106
NGC3067-3C232,control,8,False,SDSS J100416.23+331336.3,QR,2.3340001106262207,4.586893934105788
