idx,subCl,spCl,e_zsp
155543,,GALAXY,3e-05
28274,,,
78267,,,
28210,,GALAXY,3e-05
71131,,GALAXY,2e-05
28159,STARFORMING,GALAXY,1e-05
7530,,GALAXY,4e-05
71106,,GALAXY,3e-05
129253,STARBURST,GALAXY,1e-05
78362,,GALAXY,3e-05
78411,,GALAXY,3e-05
79381,STARBURST,GALAXY,1e-05
32947,,GALAXY,1e-05
28014,,,
32950,STARFORMING,GALAXY,1e-05
79201,,GALAXY,2e-05
79225,,,
72234,,GALAXY,3e-05
32795,STARFORMING,GALAXY,1e-05
72863,,GALAXY,2e-05
153277,STARFORMING,GALAXY,1e-05
72929,,,
6854,,GALAXY,3e-05
71878,,,
32356,,,
76542,,GALAXY,1e-05
71738,,,
150961,STARBURST,GALAXY,1e-05
29033,,,
124054,STARFORMING,GALAXY,1e-05
73034,,GALAXY,4e-05
28958,,GALAXY,2e-05
28426,,,
32670,,GALAXY,4e-05
28411,,GALAXY,3e-05
78101,,,
78113,,GALAXY,2e-05
73026,STARBURST,GALAXY,1e-05
1075,,GALAXY,3e-05
28688,,GALAXY,2e-05
27862,,,
123652,STARFORMING,GALAXY,1e-05
33292,,GALAXY,3e-05
80053,,,
80059,,,
585,,GALAXY,3e-05
27286,,GALAXY,3e-05
71447,STARFORMING,GALAXY,1e-05
71430,,GALAXY,2e-05
33378,,,
70274,,,
70209,,GALAXY,2e-05
26709,,GALAXY,2e-05
33440,,,
70392,,GALAXY,3e-05
888,,GALAXY,2e-05
80525,,,
150095,STARFORMING,GALAXY,1e-05
33777,STARFORMING,GALAXY,1e-05
79690,STARFORMING,GALAXY,1e-05
27637,STARFORMING,GALAXY,2e-05
129631,STARFORMING,GALAXY,1e-05
79889,,,
79338,,GALAXY,3e-05
33147,,GALAXY,4e-05
70848,,GALAXY,2e-05
79346,STARFORMING,GALAXY,2e-05
123942,,,
27516,,GALAXY,2e-05
123907,STARFORMING,GALAXY,1e-05
27461,,GALAXY,2e-05
79018,,GALAXY,3e-05
129429,,GALAXY,3e-05
27438,,,
123866,STARFORMING,GALAXY,1e-05
123816,STARFORMING,GALAXY,1e-05
153092,,,
33614,STARFORMING,GALAXY,1e-05
78791,,GALAXY,2e-05
153116,,GALAXY,3e-05
149323,STARFORMING,GALAXY,1e-05
152106,STARBURST,GALAXY,1e-05
77683,,,
73097,,,
151716,STARFORMING,GALAXY,1e-05
75721,,GALAXY,3e-05
73389,,GALAXY,3e-05
126923,STARBURST,GALAXY,1e-05
30391,,GALAXY,2e-05
75024,,GALAXY,3e-05
30967,,GALAXY,3e-05
75006,STARFORMING,GALAXY,1e-05
126545,BROADLINE,GALAXY,2e-05
126514,STARFORMING,GALAXY,1e-05
74875,,,
126482,,GALAXY,1e-05
75981,,,
29872,STARFORMING,GALAXY,2e-05
74851,,GALAXY,2e-05
29871,,,
74754,,GALAXY,2e-05
127867,,,
30907,,GALAXY,2e-05
75706,,GALAXY,4e-05
126887,STARFORMING,GALAXY,1e-05
73827,,GALAXY,3e-05
126177,STARFORMING,GALAXY,2e-05
73840,STARFORMING,GALAXY,3e-05
73875,,GALAXY,3e-05
74118,,,
127170,,,
29354,,,
76134,STARFORMING,GALAXY,1e-05
29318,STARFORMING,GALAXY,1e-05
126300,,GALAXY,2e-05
29300,,,
126343,,,
75512,STARFORMING,GALAXY,1e-05
75528,,,
152343,STARFORMING,GALAXY,1e-05
31369,,,
30154,STARFORMING,GALAXY,1e-05
74542,,GALAXY,3e-05
29826,,GALAXY,2e-05
125222,STARFORMING,GALAXY,1e-05
127601,,GALAXY,4e-05
71295,,GALAXY,2e-05
28601,,GALAXY,1e-05
71266,,GALAXY,3e-05
71218,,GALAXY,2e-05
127710,STARFORMING,GALAXY,1e-05
77258,STARFORMING,GALAXY,1e-05
128500,,GALAXY,3e-05
125662,STARFORMING,GALAXY,1e-05
152722,STARFORMING,GALAXY,1e-05
128620,BROADLINE,GALAXY,1e-05
71926,,,
128663,,GALAXY,3e-05
28708,,,
124982,STARFORMING,GALAXY,2e-05
77603,,,
77604,,GALAXY,3e-05
125654,STARBURST,GALAXY,1e-05
152851,STARFORMING,GALAXY,1e-05
127592,,,
71299,STARFORMING,GALAXY,2e-05
3419,STARFORMING,GALAXY,3e-05
75214,STARFORMING,GALAXY,1e-05
72589,,GALAXY,2e-05
960,BROADLINE,GALAXY,2e-05
29756,,GALAXY,5e-05
127343,,,
31549,,GALAXY,2e-05
125595,,,
72828,,,
76774,,GALAXY,2e-05
29448,,GALAXY,3e-05
72678,,GALAXY,2e-05
125433,STARFORMING,GALAXY,1e-05
76671,,GALAXY,2e-05
127520,,,
4880,,GALAXY,2e-05
125270,,GALAXY,3e-05
76758,STARFORMING,GALAXY,1e-05
4883,,GALAXY,3e-05
152009,STARFORMING,GALAXY,1e-05
33791,,,
80787,,,
130369,,,
85095,,,
7091,,GALAXY,2e-05
84059,,GALAXY,2e-05
84102,,GALAXY,2e-05
84134,STARFORMING,GALAXY,1e-05
66328,,GALAXY,4e-05
121994,,GALAXY,1e-05
84198,,,
66319,,GALAXY,2e-05
120385,,GALAXY,3e-05
155254,,GALAXY,2e-05
85993,STARFORMING,GALAXY,1e-05
84476,,GALAXY,2e-05
84510,,GALAXY,2e-05
148919,STARFORMING,GALAXY,1e-05
84584,,GALAXY,3e-05
36368,,,
65810,,,
5585,,GALAXY,4e-05
65903,STARFORMING,GALAXY,1e-05
84391,,GALAXY,2e-05
122563,STARFORMING,GALAXY,1e-05
24773,,,
67013,,GALAXY,4e-05
83411,STARFORMING,GALAXY,1e-05
66913,,GALAXY,4e-05
83444,,GALAXY,1e-05
85106,STARBURST,GALAXY,1e-05
122409,STARFORMING,GALAXY,1e-05
23492,,,
131084,,GALAXY,3e-05
85166,,GALAXY,3e-05
85290,,GALAXY,2e-05
85291,STARFORMING,GALAXY,1e-05
85302,,,
121108,AGN,GALAXY,2e-05
66726,STARFORMING,GALAXY,1e-05
83649,,GALAXY,4e-05
84957,,,
67227,STARFORMING,GALAXY,1e-05
824,,GALAXY,2e-05
65977,STARFORMING,GALAXY,1e-05
120521,STARBURST,GALAXY,1e-05
87511,,,
155350,STARFORMING,GALAXY,1e-05
37240,,GALAXY,3e-05
86112,STARFORMING,GALAXY,1e-05
427,,GALAXY,2e-05
86211,,GALAXY,3e-05
132652,STARFORMING,GALAXY,2e-05
119705,,GALAXY,1e-05
23574,AGN,GALAXY,1e-05
132213,,,
63909,STARBURST,GALAXY,1e-05
155475,STARFORMING,GALAXY,1e-05
22757,,GALAXY,2e-05
7958,STARFORMING,GALAXY,1e-05
87606,STARFORMING,GALAXY,1e-05
22739,,GALAXY,2e-05
155508,STARFORMING,GALAXY,1e-05
37362,,GALAXY,2e-05
22690,STARFORMING,GALAXY,1e-05
84321,STARFORMING,GALAXY,1e-05
87501,,GALAXY,2e-05
65364,STARFORMING,GALAXY,2e-05
65289,,,
65285,,GALAXY,3e-05
120498,AGN,GALAXY,3e-05
23461,STARFORMING,GALAXY,2e-05
85663,STARBURST,GALAXY,1e-05
85742,BROADLINE,GALAXY,1e-05
132108,,GALAXY,3e-05
120196,,,
120183,,GALAXY,5e-05
154947,STARBURST,GALAXY,1e-05
65160,,GALAXY,3e-05
23317,STARFORMING,GALAXY,2e-05
86778,,,
23307,,GALAXY,3e-05
65490,,GALAXY,3e-05
120108,,GALAXY,3e-05
87374,STARFORMING,GALAXY,1e-05
120090,STARFORMING,GALAXY,1e-05
87423,,GALAXY,4e-05
23378,,GALAXY,3e-05
37420,,GALAXY,2e-05
122591,STARFORMING,GALAXY,0.0
84243,,,
122194,,,
153735,STARFORMING,GALAXY,1e-05
149195,,,
81924,,GALAXY,3e-05
153783,STARFORMING,GALAXY,0.0
153811,STARFORMING,GALAXY,1e-05
25682,,GALAXY,1e-05
5419,,GALAXY,1e-05
121802,,GALAXY,3e-05
68401,,GALAXY,3e-05
7176,,,
121665,STARFORMING,GALAXY,2e-05
149063,,GALAXY,2e-05
25150,,GALAXY,2e-05
5048,,GALAXY,3e-05
121396,,GALAXY,2e-05
81693,,GALAXY,4e-05
25780,,GALAXY,4e-05
34435,STARFORMING,GALAXY,1e-05
69163,,,
34415,,,
26266,,,
152906,,,
69785,,GALAXY,1e-05
81092,,GALAXY,4e-05
123264,,,
26125,,GALAXY,2e-05
69673,,GALAXY,2e-05
81164,,,
3694,,GALAXY,2e-05
81197,STARFORMING,GALAXY,2e-05
68995,STARFORMING,GALAXY,2e-05
153605,STARBURST,GALAXY,1e-05
34708,,GALAXY,3e-05
26941,,,
122279,,GALAXY,3e-05
150273,,,
122266,,GALAXY,3e-05
122254,,,
69086,,,
149037,STARFORMING,GALAXY,1e-05
68232,,,
68223,,,
67374,,GALAXY,2e-05
35539,,GALAXY,2e-05
131233,STARFORMING,GALAXY,1e-05
131276,STARFORMING,GALAXY,1e-05
35138,,GALAXY,2e-05
67765,STARFORMING,GALAXY,1e-05
25559,,GALAXY,3e-05
67740,,GALAXY,3e-05
122876,,GALAXY,3e-05
25352,,GALAXY,3e-05
154405,STARBURST,GALAXY,1e-05
149954,STARFORMING,GALAXY,1e-05
154410,,GALAXY,2e-05
67658,,GALAXY,3e-05
67635,,GALAXY,3e-05
36038,,GALAXY,4e-05
121454,,GALAXY,2e-05
82785,STARFORMING,GALAXY,2e-05
82800,,,
154293,STARFORMING,GALAXY,2e-05
25428,,,
121371,STARFORMING,GALAXY,2e-05
34082,,GALAXY,3e-05
130406,STARBURST,GALAXY,1e-05
81808,,,
68140,,GALAXY,3e-05
25988,,,
68070,,GALAXY,2e-05
130496,,GALAXY,2e-05
67385,AGN,GALAXY,1e-05
82250,BROADLINE,GALAXY,1e-05
865,,,
3650,,GALAXY,2e-05
120833,,GALAXY,1e-05
83067,AGN,GALAXY,1e-05
67533,STARBURST,GALAXY,1e-05
67487,BROADLINE,GALAXY,2e-05
131152,,,
25434,,GALAXY,3e-05
67479,STARBURST,GALAXY,1e-05
154146,,,
143965,,,
126157,,,
110939,STARFORMING,GALAXY,2e-05
49190,,,
47442,,GALAXY,2e-05
143414,STARFORMING,GALAXY,2e-05
110303,STARFORMING,GALAXY,1e-05
13339,STARFORMING,GALAXY,1e-05
143720,,,
43760,,,
141275,STARFORMING,GALAXY,1e-05
106550,,GALAXY,3e-05
51762,,GALAXY,3e-05
140720,,,
107373,STARFORMING,GALAXY,1e-05
51225,,GALAXY,2e-05
47066,,GALAXY,2e-05
8903,,,
14136,STARFORMING,GALAXY,2e-05
53360,STARFORMING,GALAXY,1e-05
138546,,GALAXY,3e-05
51842,,GALAXY,3e-05
102074,,GALAXY,2e-05
9445,,GALAXY,3e-05
46119,,GALAXY,3e-05
51041,STARFORMING,GALAXY,1e-05
6463,,GALAXY,2e-05
142080,,GALAXY,5e-05
44570,AGN,GALAXY,2e-05
13473,,GALAXY,3e-05
102467,STARFORMING,GALAXY,1e-05
15017,STARFORMING,GALAXY,1e-05
