id,ra_deg,dec_deg,cz_kms,glat_deg
12002364-0105598,180.09848,-1.1,1430.0,59.21474292133073
13214624-2725498,200.44267,-27.43052,1815.0,34.956830720816896
12192326+0549289,184.84692,5.82471,2238.0,67.37242428101973
23182362-4222140,349.59842,-42.37057,1575.0,-65.6961609305402
01591958+1900271,29.83159,19.00754,2472.0,-41.01854912984956
11001858+1354045,165.07739,13.90123,677.0,60.91317683313399
11575616+5527128,179.48395,55.45355,1040.0,60.06339910913357
12352950-0347356,188.87294,-3.79321,1019.0,58.83978838543458
01312075-0652050,22.83648,-6.86806,1872.0,-67.63330288322929
12110436+5029048,182.76819,50.48468,774.0,65.40822407191615
12525604+1113508,193.23354,11.2308,984.0,74.09865668200233
12432013+0158422,190.83391,1.97836,1335.0,64.77528356386675
12324558+0006541,188.18994,0.11504,1128.0,62.61648755353182
10165363+7324023,154.22359,73.40069,2802.0,39.46320309234132
12103265+3924207,182.63608,39.40576,995.0,75.06330152596692
02410480-0815209,40.26999,-8.25583,1590.0,-57.92551756160175
14201994+0356009,215.08311,3.93359,1507.0,58.56306056525976
12150502+3311500,183.77098,33.19728,1086.0,80.07875712054796
12303636+4138370,187.65154,41.64363,565.0,74.86972358580996
12450595+0303204,191.27489,3.05571,785.0,65.87976311483078
03365707-3530240,54.23773,-35.50664,1265.0,-53.94635973390814
12395593+1010337,189.98309,10.1761,1870.0,72.83230590716461
03310811-3337431,52.78383,-33.62864,1918.0,-55.16778714008101
11210685+0314051,170.27855,3.23482,1251.0,57.798682426418544
12592127-1502318,194.83864,-15.04217,1353.0,47.785836968799245
03281966-3104054,52.08195,-31.06818,1106.0,-55.67808604438022
10180564+2149549,154.52351,21.83194,1271.0,54.84531950767258
12053418+5032205,181.39246,50.53903,757.0,65.01107445706458
09502223+7216431,147.59264,72.27865,1322.0,38.68283143088439
11143700+1249048,168.65417,12.81802,640.0,63.211420386288914
04124324-5744166,63.18019,-57.73796,1148.0,-43.544165098190845
12521756+1118491,193.07318,11.31366,1347.0,74.18413143296347
15011126+0142070,225.29694,1.70197,1972.0,49.848439742157886
