pair_id,profile,x,a_int_x,phi_x
NGC3628-XQSO,yukawa,0.9899497487437187,0.49593856000429676,0.7013032308889295
NGC3628-XQSO,yukawa,0.9949748743718593,0.45079444728760076,0.7967438143555513
NGC3628-XQSO,yukawa,1.0,0.4014044846000233,0.9127856702856401
NGC4258-QSOs,exponential,0.0,1.0,-0.0
NGC4258-QSOs,exponential,0.005025125628140704,0.9942507180786724,0.005765872663094329
NGC4258-QSOs,exponential,0.010050251256281407,0.9886158459141902,0.011449449597041346
NGC4258-QSOs,exponential,0.01507537688442211,0.9830931067713646,0.017051446360659323
NGC4258-QSOs,exponential,0.020100502512562814,0.9776802692216592,0.022572585484559825
NGC4258-QSOs,exponential,0.02512562814070352,0.9723751462415958,0.028013596058916786
NGC4258-QSOs,exponential,0.03015075376884422,0.9671755943291004,0.03337521332384414
NGC4258-QSOs,exponential,0.035175879396984924,0.9620795126374351,0.03865817826277312
NGC4258-QSOs,exponential,0.04020100502512563,0.9570848421263634,0.04386323719921657
NGC4258-QSOs,exponential,0.04522613065326633,0.9521895647302084,0.0489911413972833
NGC4258-QSOs,exponential,0.05025125628140704,0.9473917025424655,0.054042646666297996
NGC4258-QSOs,exponential,0.05527638190954774,0.9426893170166412,0.05901851296986037
NGC4258-QSOs,exponential,0.06030150753768844,0.9380805081829959,0.06391950403966476
NGC4258-QSOs,exponential,0.06532663316582915,0.9335634138808732,0.06874638699438589
NGC4258-QSOs,exponential,0.07035175879396985,0.9291362090063042,0.07349993196391826
NGC4258-QSOs,exponential,0.07537688442211056,0.9247971047745869,0.07818091171924148
NGC4258-QSOs,exponential,0.08040201005025126,0.920544347997538,0.08279010130816816
NGC4258-QSOs,exponential,0.08542713567839195,0.9163762203751284,0.08732827769721511
NGC4258-QSOs,exponential,0.09045226130653267,0.9122910378012148,0.09179621941982016
NGC4258-QSOs,exponential,0.09547738693467336,0.9082871496830864,0.0961947062311148
NGC4258-QSOs,exponential,0.10050251256281408,0.904362938274554,0.10052451876944282
NGC4258-QSOs,exponential,0.10552763819095477,0.9005168180223094,0.10478643822480253
NGC4258-QSOs,exponential,0.11055276381909548,0.896747234925292,0.10898124601437406
NGC4258-QSOs,exponential,0.11557788944723618,0.8930526659068048,0.11310972346527566
NGC4258-QSOs,exponential,0.12060301507537688,0.8894316181991243,0.1171726515046824
NGC4258-QSOs,exponential,0.12562814070351758,0.8858826287403575,0.12117081035742024
NGC4258-QSOs,exponential,0.1306532663316583,0.8824042635833,0.12510497925114025
NGC4258-QSOs,exponential,0.135678391959799,0.8789951173160596,0.1289759361291576
NGC4258-QSOs,exponential,0.1407035175879397,0.875653812494207,0.13278445737103234
NGC4258-QSOs,exponential,0.1457286432160804,0.8723789990842292,0.13653131752094907
NGC4258-QSOs,exponential,0.15075376884422112,0.8691693539180558,0.14021728902394626
NGC4258-QSOs,exponential,0.15577889447236182,0.8660235801584419,0.14384314197002773
NGC4258-QSOs,exponential,0.16080402010050251,0.8629404067749886,0.14740964384618113
NGC4258-QSOs,exponential,0.1658291457286432,0.8599185880305911,0.15091755929631326
NGC4258-QSOs,exponential,0.1708542713567839,0.8569569029781066,0.15436764988910226
NGC4258-QSOs,exponential,0.17587939698492464,0.8540541549670376,0.15776067389375764
NGC4258-QSOs,exponential,0.18090452261306533,0.8512091711600336,0.16109738606366322
NGC4258-QSOs,exponential,0.18592964824120603,0.8484208020590124,0.1643785374278756
NGC4258-QSOs,exponential,0.19095477386934673,0.8456879210407133,0.1676048750904346
NGC4258-QSOs,exponential,0.19597989949748745,0.8430094239014916,0.17077714203743813
NGC4258-QSOs,exponential,0.20100502512562815,0.8403842284111719,0.173896076951821
NGC4258-QSOs,exponential,0.20603015075376885,0.83781127387578,0.1769624140357732
NGC4258-QSOs,exponential,0.21105527638190955,0.8352895207089759,0.17997688284072283
NGC4258-QSOs,exponential,0.21608040201005024,0.8328179500120152,0.18294020810480202
NGC4258-QSOs,exponential,0.22110552763819097,0.8303955631620696,0.18585310959770873
NGC4258-QSOs,exponential,0.22613065326633167,0.8280213814087396,0.1887163019728692
NGC4258-QSOs,exponential,0.23115577889447236,0.8256944454785964,0.19153049462680125
NGC4258-QSOs,exponential,0.23618090452261306,0.8234138151875929,0.19429639156557357
NGC4258-QSOs,exponential,0.24120603015075376,0.8211785690611894,0.19701469127824772
NGC4258-QSOs,exponential,0.24623115577889448,0.818987803962036,0.19968608661719076
NGC4258-QSOs,exponential,0.25125628140703515,0.8168406347250666,0.20231126468513608
NGC4258-QSOs,exponential,0.2562814070351759,0.8147361937998534,0.20489090672887014
NGC4258-QSOs,exponential,0.2613065326633166,0.8126736309000777,0.20742568803941852
NGC4258-QSOs,exponential,0.2663316582914573,0.8106521126599779,0.20991627785859943
NGC4258-QSOs,exponential,0.271356783919598,0.8086708222976328,0.21236333929181372
NGC4258-QSOs,exponential,0.2763819095477387,0.806728959284946,0.2147675292269341
NGC4258-QSOs,exponential,0.2814070351758794,0.8048257390241974,0.21712949825915873
NGC4258-QSOs,exponential,0.2864321608040201,0.8029603925310315,0.21944989062168593
NGC4258-QSOs,exponential,0.2914572864321608,0.8011321661237538,0.22172934412207349
NGC4258-QSOs,exponential,0.2964824120603015,0.7993403211188108,0.2239684900841375
NGC4258-QSOs,exponential,0.30150753768844224,0.797584133532329,0.22616795329524944
NGC4258-QSOs,exponential,0.3065326633165829,0.795862893787594,0.22832835195888757
NGC4258-QSOs,exponential,0.31155778894472363,0.7941759064283505,0.23045029765229794
NGC4258-QSOs,exponential,0.3165829145728643,0.7925224898378069,0.2325343952891231
NGC4258-QSOs,exponential,0.32160804020100503,0.7909019759632333,0.23458124308685152
NGC4258-QSOs,exponential,0.32663316582914576,0.7893137100460379,0.23659143253894674
NGC4258-QSOs,exponential,0.3316582914572864,0.7877570503572167,0.2385655483915109
NGC4258-QSOs,exponential,0.33668341708542715,0.7862313679380659,0.24050416862434282
NGC4258-QSOs,exponential,0.3417085427135678,0.7847360463460562,0.24240786443624532
NGC4258-QSOs,exponential,0.34673366834170855,0.783270481405762,0.24427720023444502
NGC4258-QSOs,exponential,0.35175879396984927,0.7818340809647488,0.24611273362798256
NGC4258-QSOs,exponential,0.35678391959798994,0.7804262646543172,0.24791501542493677
NGC4258-QSOs,exponential,0.36180904522613067,0.7790464636550083,0.24968458963334633
NGC4258-QSOs,exponential,0.36683417085427134,0.7776941204667769,0.25142199346569144
NGC4258-QSOs,exponential,0.37185929648241206,0.7763686886837355,0.253127757346808
NGC4258-QSOs,exponential,0.3768844221105528,0.7750696327733837,0.25480240492509637
NGC4258-QSOs,exponential,0.38190954773869346,0.7737964278602287,0.25644645308690106
NGC4258-QSOs,exponential,0.3869346733668342,0.7725485595137132,0.2580604119739304
NGC4258-QSOs,exponential,0.3919597989949749,0.7713255235403624,0.2596447850035935
NGC4258-QSOs,exponential,0.3969849246231156,0.7701268257800683,0.26120006889213
NGC4258-QSOs,exponential,0.4020100502512563,0.768951981906427,0.262726753680413
NGC4258-QSOs,exponential,0.40703517587939697,0.7678005172310498,0.26422532276230665
NGC4258-QSOs,exponential,0.4120603015075377,0.766671966511768,0.26569625291546267
NGC4258-QSOs,exponential,0.4170854271356784,0.7655658737646553,0.2671400143344416
NGC4258-QSOs,exponential,0.4221105527638191,0.7644817920797896,0.26855707066604917
NGC4258-QSOs,exponential,0.4271356783919598,0.7634192834406821,0.2699478790467781
NGC4258-QSOs,exponential,0.4321608040201005,0.7623779185472999,0.2713128901422493
NGC4258-QSOs,exponential,0.4371859296482412,0.7613572766426089,0.2726525481885516
NGC4258-QSOs,exponential,0.44221105527638194,0.7603569453425707,0.27396729103537426
NGC4258-QSOs,exponential,0.4472361809045226,0.759376520469521,0.27525755019083853
NGC4258-QSOs,exponential,0.45226130653266333,0.7584156058888635,0.2765237508679317
NGC4258-QSOs,exponential,0.457286432160804,0.7574738133490151,0.2777663120324471
NGC4258-QSOs,exponential,0.4623115577889447,0.7565507623245346,0.27898564645234464
NGC4258-QSOs,exponential,0.46733668341708545,0.755646079862374,0.280182160748439
NGC4258-QSOs,exponential,0.4723618090452261,0.7547594004311892,0.2813562554463338
NGC4258-QSOs,exponential,0.47738693467336685,0.7538903657736491,0.2825083250295163
NGC4258-QSOs,exponential,0.4824120603015075,0.7530386247616843,0.28363875799353283
NGC4258-QSOs,exponential,0.48743718592964824,0.7522038332546154,0.284747936901168
NGC4258-QSOs,exponential,0.49246231155778897,0.7513856539601058,0.2858362384385504
NGC4258-QSOs,exponential,0.49748743718592964,0.7505837562978804,0.28690403347211285
NGC4258-QSOs,exponential,0.5025125628140703,0.7497978162661567,0.2879516871063367
NGC4258-QSOs,exponential,0.507537688442211,0.7490275163107337,0.28897955874221093
