idx,e_zsp,f_zsp,spCl,angDist
96344,,0,,0.0
136332,1e-05,0,GALAXY,0.0
95640,2e-05,0,GALAXY,0.0
59089,,0,,0.0
57620,,0,,0.0
57524,,0,,0.0
17173,2e-05,0,GALAXY,0.0
17128,,0,,0.0
158654,1e-05,0,GALAXY,0.0
41490,3e-05,0,GALAXY,0.0
15108,3e-05,0,GALAXY,0.0
87864,1e-05,0,GALAXY,0.0
155543,3e-05,0,GALAXY,0.0
28274,,0,,0.0
78267,,0,,0.0
28210,3e-05,0,GALAXY,0.0
71131,2e-05,0,GALAXY,0.0
28159,1e-05,0,GALAXY,0.0
7530,4e-05,0,GALAXY,0.0
71106,3e-05,0,GALAXY,0.0
129253,1e-05,0,GALAXY,0.0
78362,3e-05,0,GALAXY,0.0
78411,3e-05,0,GALAXY,0.0
79381,1e-05,0,GALAXY,0.0
32947,1e-05,0,GALAXY,0.0
28014,,0,,0.0
32950,1e-05,0,GALAXY,0.0
79201,2e-05,0,GALAXY,0.0
79225,,0,,0.0
72234,3e-05,0,GALAXY,0.0
32795,1e-05,0,GALAXY,0.0
72863,2e-05,0,GALAXY,0.0
153277,1e-05,0,GALAXY,0.0
72929,,0,,0.0
6854,3e-05,0,GALAXY,0.0
71878,,0,,0.0
32356,,0,,0.0
76542,1e-05,0,GALAXY,0.0
71738,,0,,0.0
150961,1e-05,0,GALAXY,0.0
29033,,0,,0.0
124054,1e-05,0,GALAXY,0.0
73034,4e-05,0,GALAXY,0.0
28958,2e-05,0,GALAXY,0.0
28426,,0,,0.0
32670,4e-05,0,GALAXY,0.0
28411,3e-05,0,GALAXY,0.0
78101,,0,,0.0
78113,2e-05,0,GALAXY,0.0
73026,1e-05,0,GALAXY,0.0
1075,3e-05,0,GALAXY,0.0
28688,2e-05,0,GALAXY,0.0
27862,,0,,0.0
123652,1e-05,0,GALAXY,0.0
33292,3e-05,0,GALAXY,0.0
80053,,0,,0.0
80059,,0,,0.0
585,3e-05,0,GALAXY,0.0
27286,3e-05,0,GALAXY,0.0
71447,1e-05,0,GALAXY,0.0
71430,2e-05,0,GALAXY,0.0
33378,,0,,0.0
70274,,0,,0.0
70209,2e-05,0,GALAXY,0.0
26709,2e-05,0,GALAXY,0.0
33440,,0,,0.0
70392,3e-05,0,GALAXY,0.0
888,2e-05,0,GALAXY,0.0
80525,,0,,0.0
150095,1e-05,0,GALAXY,0.0
33777,1e-05,0,GALAXY,0.0
79690,1e-05,0,GALAXY,0.0
